Project name,Classname,Line,Bugyy code,Fixed code,Type,Ratio (FL),Bug Type,,Fixed,Context,,Th“?ng kˆ,,
82138,Board,(24-24;24-28),"
","
    /**
     * ham.
     * @param piece ham.
     */
",INSERT,null,,,NO,,,,,
82138,Move,(90-90;90-94),"
","
    /**
     * ham.
     * @return ham.
     */
",INSERT,null,,,NO,,,,,
82138,Move,(92-117;96-113),"        String a = """";
        switch (this.getMovedPiece().getCoordinatesX()) {
            case 1:
                a = ""a"";
                break;
            case 2:
                a = ""b"";
                break;
            case 3:
                a = ""c"";
                break;
            case 4:
                a = ""d"";
                break;
            case 5:
                a = ""e"";
                break;
            case 6:
                a = ""f"";
                break;
            case 7:
                a = ""g"";
                break;
            case 8:
                a = ""h"";
                break;
","        String a = """";
        int b = this.endX;
        if (b == 1) {
            a = ""a"";
        } else if (b == 2) {
            a = ""b"";
        } else if (b == 3) {
            a = ""c"";
        } else if (b == 4) {
            a = ""d"";
        } else if (b == 5) {
            a = ""e"";
        } else if (b == 6) {
            a = ""f"";
        } else if (b == 7) {
            a = ""g"";
        } else if (b == 8) {
            a = ""h"";
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,,,
82138,Move,(118-119;114-117),"        }
        String s = this.getMovedPiece().getColor() + ""-R"" + a + this.getMovedPiece().getCoordinatesY();
","        }
        String s = this.getMovedPiece().getColor() + ""-""
                + this.getMovedPiece().getSymbol()
                + a + this.endY;
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,,,
82136,Board,(11-11;11-17),"
","
    /**
     * ham.
     * @param x ham.
     * @param y ham.
     * @return ham.
     */
",INSERT,null,,,NO,,,,,
82136,Board,(18-18;24-28),"
","
    /**
     * ham.
     * @param piece ham.
     */
",INSERT,null,,,NO,,,,,
82136,Board,(22-22;34-40),"
","
    /**
     * ham.
     * @param x ham.
     * @param y ham.
     * @return ham.
     */
",INSERT,null,,,NO,,,,,
82136,Board,(31-31;49-54),"
","
    /**
     * ham.
     * @param x ham.
     * @param y ham.
     */
",INSERT,null,,,NO,,,,,
82136,Move,(11-11;21-22),"        this.endY = endY;
","        this.endY = endY;
        this.movedPiece = movedPiece;
",INSERT,null,INIT_CONSTRUCT,,YES,,,,,
82136,Move,(70-70;90-94),"
","
    /**
     * ham.
     * @return ham.
     */
",INSERT,null,,,NO,,,,,
82136,Move,(71-72;95-117),"    public String toString() {
        String s = """";
","    public String toString() {
        String a = """";
        int b = this.endX;
        if (b == 1) {
            a = ""a"";
        } else if (b == 2) {
            a = ""b"";
        } else if (b == 3) {
            a = ""c"";
        } else if (b == 4) {
            a = ""d"";
        } else if (b == 5) {
            a = ""e"";
        } else if (b == 6) {
            a = ""f"";
        } else if (b == 7) {
            a = ""g"";
        } else if (b == 8) {
            a = ""h"";
        }
        String s = this.getMovedPiece().getColor() + ""-""
                + this.getMovedPiece().getSymbol()
                + a + this.endY;
",REPLACE,0.35355338,LINE,,YES,CLASS,,,,
82831,Board,(20-20;20-26),"
","
    /**
     * Kiem tra vi tri quan co.
     * @param x x.
     * @param y y.
     * @return tra ve dung neu vi tri cho phep.
     */
",INSERT,null,,,NO,,,,,
82831,Move,(8-8;8-16),"
","
    /**
     * khoi tao lop di chuyen.
     * @param startX vi tri bat dau.
     * @param endX vi tri ket thuc x.
     * @param startY vi tri bat dau y.
     * @param endY vi tri ket thuc y.
     * @param movedPiece quan co di chuyen.
     */
",INSERT,null,,,NO,,,,,
82831,Move,(16-16;24-33),"
","
    /**
     * khoi tao lop di chuyen.
     * @param startX vi tri bat dau.
     * @param endX vi tri ket thuc x.
     * @param startY vi tri bat dau y.
     * @param endY vi tri ket thuc y.
     * @param movedPiece quan co di chuyen.
     * @param killedPiece quan co bi giet.
     */
",INSERT,0.35355338,,,NO,,,,,
82831,Move,(74-75;91-92),"    public String toString() {
        char x = (char)(endX + 47 + 48);
","    public String toString() {
        char x = (char) (endX + 47 + 49);
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,NO,,,,
82831,Piece,(5-5;5-10),"
","
    /**
     * khoi tao quan co.
     * @param coordinatesX tai x.
     * @param coordinatesY tai y.
     */
",INSERT,null,,,NO,,,,,
82831,Piece,(11-11;16-22),"
","
    /**
     * khoi tao quan co.
     * @param coordinatesX tai x.
     * @param coordinatesY tai y.
     * @param color mau.
     */
",INSERT,null,,,NO,,,,,
82774,Move,(22-22;21-22),"      this.endX = endX;
","      this.endX = endX;
      this.startY = startY;
",INSERT,0.35355338,INIT_CONSTRUCT,,YES,CLASS,,,,
82774,Move,(39-39;38-39),"      this.endX = endX;
","      this.endX = endX;
      this.startY = startY;
",INSERT,null,INIT_CONSTRUCT,,YES,CLASS,,,,
82094,Piece,(81-81;81-84),"
","
   /**
    * c.
    */
",INSERT,null,,,NO,,,,,
82094,Move,(52-52;52-55),"
","
   /**
    * c.
    */
",INSERT,null,,,NO,,,,,
81431,Move,(48-49;48-49),"      String[] letterPos = {""0"", ""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h""};
      String position = letterPos[movedPiece.getCoordinatesX()] + movedPiece.getCoordinatesY();
","      String[] letterPos = {""0"", ""a"", ""b"", ""c"", ""d"", ""e"", ""f"", ""g"", ""h""};
      String position = letterPos[endX] + endY;
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,,,
81431,Rook,(37-37;37-38),"      }
","      }

",INSERT,null,,,NO,,,,,
81687,Move,(29-29;29-30),"        this.movedPiece = movedPiece;
","        this.movedPiece = movedPiece;
        this.killedPiece = killedPiece;
",INSERT,null,INIT_CONSTRUCT,,YES,,,,,
81687,Move,(35-37;36-38),"                + ""-"" + movedPiece.getSymbol()
                + (char) (movedPiece.getCoordinatesX() - 1 + 'a')
                + movedPiece.getCoordinatesY();
","                + ""-"" + movedPiece.getSymbol()
                + (char) (endX - 1 + 'a')
                + endY;
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,,,
81674,Board,(21-21;21-24),"
","
    /**
     * check validate.
     */
",INSERT,null,,,NO,,,,,
83982,Piece,(25-25;25-48),"
","
    /**
     * method.
     */

    public String algebraicNotation() {
        if (getCoordinatesX() == 1) {
            return ""a"";
        } else if (getCoordinatesX() == 2) {
            return ""b"";
        } else if (getCoordinatesX() == 3) {
            return ""c"";
        } else if (getCoordinatesX() == 4) {
            return ""d"";
        } else if (getCoordinatesX() == 5) {
            return ""e"";
        } else if (getCoordinatesX() == 6) {
            return ""f"";
        } else if (getCoordinatesX() == 7) {
            return ""g"";
        }
        return ""h"";
    }

",INSERT,0.35355338,INSERT_CODE,,YES,,,,,
83982,Piece,(49-72;72-72),"
    /**
     * method.
     */

    public String algebraicNotation() {
       if (getCoordinatesX() == 1) {
           return ""a"";
       } else if (getCoordinatesX() == 2) {
           return ""b"";
       } else if (getCoordinatesX() == 3) {
           return ""c"";
       } else if (getCoordinatesX() == 4) {
           return ""d"";
       } else if (getCoordinatesX() == 5) {
           return ""e"";
       } else if (getCoordinatesX() == 6) {
           return ""f"";
       } else if (getCoordinatesX() == 7) {
           return ""g"";
       }
       return ""h"";
    }

","
",DELETE,0.35355338,DELETE,,YES,,,,,
83982,Move,(35-35;35-36),"    public String toString() {
","    public String toString() {
        Rook rook = new Rook(endX, endY);
",INSERT,null,INIT_OBJECT,,,,,,,
83982,Move,(37-39;38-40),"                + movedPiece.getSymbol()
                + movedPiece.algebraicNotation()
                + movedPiece.getCoordinatesY();
","                + movedPiece.getSymbol()
                + rook.algebraicNotation()
                + rook.getCoordinatesY();
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,,,
83889,Board,(49-49;49-53),"
","
    /**
     * method.
     */

",INSERT,null,,,NO,,,,,
83879,Board,(7-7;7-10),"
","
    /**
     * Method.
     */
",INSERT,null,,,NO,,,,,
83879,Board,(14-14;17-21),"
","
    /**
     * method.
     */

",INSERT,null,,,NO,,,,,
83879,Board,(29-29;36-40),"
","
    /**
     * method.
     */

",INSERT,null,,,NO,,,,,
83879,Board,(38-38;49-53),"
","
    /**
     * method.
     */

",INSERT,null,,,NO,,,,,
83879,Piece,(5-5;5-9),"
","
    /**
     * constructor.
     */

",INSERT,null,,,NO,,,,,
83879,Piece,(11-11;15-19),"
","
    /**
     * constructor.
     */

",INSERT,null,,,NO,,,,,
83879,Piece,(17-17;25-48),"
","
    /**
     * method.
     */

    public String algebraicNotation() {
        if (getCoordinatesX() == 1) {
            return ""a"";
        } else if (getCoordinatesX() == 2) {
            return ""b"";
        } else if (getCoordinatesX() == 3) {
            return ""c"";
        } else if (getCoordinatesX() == 4) {
            return ""d"";
        } else if (getCoordinatesX() == 5) {
            return ""e"";
        } else if (getCoordinatesX() == 6) {
            return ""f"";
        } else if (getCoordinatesX() == 7) {
            return ""g"";
        }
        return ""h"";
    }

",INSERT,null,INSERT_CODE,,YES,,,,,
83879,Piece,(41-60;72-72),"
    public String algebraicNotation() {
       if (getCoordinatesX() == 1) {
           return ""a"";
       } else if (getCoordinatesX() == 2) {
           return ""b"";
       } else if (getCoordinatesX() == 3) {
           return ""c"";
       } else if (getCoordinatesX() == 4) {
           return ""d"";
       } else if (getCoordinatesX() == 5) {
           return ""e"";
       } else if (getCoordinatesX() == 6) {
           return ""f"";
       } else if (getCoordinatesX() == 7) {
           return ""g"";
       }
       return ""h"";
    }

","
",DELETE,0.35355338,DELETE,,YES,,,,,
83879,Move,(27-28;35-37),"    public String toString() {
        return ""'"" + movedPiece.getColor() + ""-""
","    public String toString() {
        Rook rook = new Rook(endX, endY);
        return movedPiece.getColor() + ""-""
",REPLACE,0.35355338,INSERT_OBJECT,,YES,PACKAGE,,,,
83879,Move,(29-31;38-40),"                + movedPiece.getSymbol()
                + movedPiece.algebraicNotation()
                + movedPiece.getCoordinatesY() + ""'"";
","                + movedPiece.getSymbol()
                + rook.algebraicNotation()
                + rook.getCoordinatesY();
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,PACKAGE,,,,
83344,Move,(37-38;37-38),"    public String toString() {
        int width = movedPiece.getCoordinatesX() + 96;
","    public String toString() {
        int col = endX + 96;
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,PACKAGE,,,,
83344,Move,(39-40;39-40),"        String mpiece = movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + (char) width + movedPiece.getCoordinatesY();
","        String mpiece = movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + (char) col + endY;
",REPLACE,0.35355338,REPLACE_VAR,,LINE,CLASS,,,,
83324,Board,(9-9;9-12),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Board,(23-23;26-29),"
","
    /**
     * abc.
     */
",INSERT,0.35355338,,,NO,,,,,
83324,Board,(30-30;36-39),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Board,(39-39;48-51),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Piece,(7-7;7-10),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Piece,(13-13;16-19),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Piece,(47-47;53-56),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Move,(10-10;10-13),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Move,(18-18;21-24),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Move,(27-27;33-36),"
","
    /**
     * abc.
     */
",INSERT,null,,,NO,,,,,
83324,Move,(28-32;37-41),"    public String toString() {
        int width = movedPiece.getCoordinatesX() + 96;
        String mPiece = movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + (char) width + movedPiece.getCoordinatesY();
        return null;
","    public String toString() {
        int col = endX + 96;
        String mpiece = movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + (char) col + endY;
        return mpiece;
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,,,
82699,Board,(20-20;20-23),"
","
    /**
     * .
     **/
",INSERT,null,,,NO,,,,,
82443,Board,(10-10;10-13),"
","
    /**
     * .
     **/
",INSERT,null,,,NO,,,,,
82443,Board,(17-17;20-23),"
","
    /**
     * .
     **/
",INSERT,0.35355338,,,NO,,,,,
82443,Board,(22-22;30-33),"
","
    /**
     * .
     **/
",INSERT,null,,,NO,,,,,
82443,Board,(30-30;41-44),"
","
    /**
     * .
     **/
",INSERT,null,,,NO,,,,,
82443,Piece,(8-8;8-11),"
","
    /**
     * .
     **/
",INSERT,null,,,NO,,,,,
82443,Piece,(14-14;17-20),"
","
    /**
     * .
     **/
",INSERT,null,,,NO,,,,,
82443,Move,(16-16;19-22),"
","
    /**
     * .
     **/
",INSERT,null,,,NO,,,,,
82443,Move,(25-25;31-34),"
","
    /**
     * .
     **/
",INSERT,null,,,NO,,,,,
82443,Move,(27-29;36-38),"        String s = movedPiece.getColor() + ""-"" + movedPiece.getSymbol();
        char x = (char) ('a' + (movedPiece.getCoordinatesX() - 1));
        return s + x + movedPiece.getCoordinatesY();
","        String s = movedPiece.getColor() + ""-"" + movedPiece.getSymbol();
        char x = (char) ('a' + (endX - 1));
        return s + x + endY;
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,CLASS,,,,
83427,Board,(7-7;7-10),"
","
    /**
     * alo.
     */
",INSERT,null,,,NO,,,,,
83427,Board,(14-14;17-21),"
","
    /**
     * alo.
     */

",INSERT,null,,,NO,,,,,
83427,Board,(24-24;27-28),"        }
","        }

",INSERT,null,,,NO,,,,,
83427,Board,(26-26;30-33),"
","
    /**
     * alo.
     */
",INSERT,null,,,NO,,,,,
83427,Board,(35-35;42-46),"
","
    /**
     * alo.
     */

",INSERT,null,,,NO,,,,,
83427,Board,(44-44;55-59),"
","
    /**
     * alo.
     */

",INSERT,null,,,NO,,,,,
83427,Board,(48-48;63-67),"
","
    /**
     * alo.
     */

",INSERT,null,,,NO,,,,,
83154,Board,(11-11;11-12),"    /**....*/
","    /**....*/

",INSERT,null,,,NO,,,,,
83144,Board,(10-10;10-11),"    }
","    }
    /**....*/
",INSERT,null,,,NO,,,,,
83144,Board,(21-21;22-23),"    }
","    }
    /**....*/
",INSERT,null,,,NO,,,,,
83144,Board,(31-31;33-34),"    }
","    }
    /**....*/
",INSERT,null,,,NO,,,,,
83144,Board,(40-40;43-44),"    }
","    }
    /**....*/
",INSERT,null,,,NO,,,,,
83135,Board,(12-12;13-20),"    public void addPiece(Piece piece) {
","    public void addPiece(Piece piece) {
        for (int i = 0; i < pieces.size(); i++) {
            if (pieces.get(i).getCoordinatesX() == piece.getCoordinatesX()
                    && pieces.get(i).getCoordinatesY() == piece.getCoordinatesY()
                    && pieces.get(i).getColor() == piece.getColor()) {
                return;
            }
        }
",INSERT,null,INSERT_CODE,,YES,,,,,
83135,Board,(14-14;22-23),"    }
","    }
    /**....*/
",INSERT,null,,,NO,,,,,
83135,Board,(24-24;33-34),"    }
","    }
    /**....*/
",INSERT,null,,,NO,,,,,
83135,Board,(33-33;43-44),"    }
","    }
    /**....*/
",INSERT,null,,,NO,,,,,
83430,Board,(26-26;29-32),"            }
","            }
            if (count == getPieces().size()) {
                pieces.add(piece);
            }
",INSERT,null,INSERT_CODE,,YES,,,,,
83430,Move,(46-46;46-47),"                cot += ""d"";
","                cot += ""d"";
                break;
",INSERT,null,INSERT_KEY,,YES,NO,,,,
83430,Move,(58-58;59-61),"                break;
","                break;
            default:
                break;
",INSERT,0.35355338,,,,,,,,
83430,Move,(59-60;62-63),"        }
        return ""`"" + movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
","        }
        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
",REPLACE,0.35355338,GEN_STRING,,YES,NO,,,,
83381,Board,(27-27;36-50),"    /**
","    /**
     * Compare 2 piece.
     */
    public boolean compareTo(Piece piece1, Piece piece2) {
        if (piece1.getCoordinatesX() == piece2.getCoordinatesX()
        && piece1.getCoordinatesY() == piece2.getCoordinatesY()
        && piece1.getColor().equals(piece2.getColor())) {
            return true;
        } else {
            return false;
        }
    }


    /**
",INSERT,null,INSERT_CODE,,YES,,,,,
83381,Move,(33-36;33-64),"    public String toString() {
        return ""`"" + movedPiece.getColor() + "" - "" + movedPiece.getSymbol() + ""`""
                + "" : Qu?n c? **Xe** tr?ng di chuy?n t?i v? tr? c?t ""
                + this.endY + "" h?ng "" + this.endX + "" t??ng ?ng v?i `(x="" + this.endX + "", y="" + this.endY + "")`"";
","    public String toString() {
        String cot = """";
        switch (endX) {
            case 1:
                cot += ""a"";
                break;
            case 2:
                cot += ""b"";
                break;
            case 3:
                cot += ""c"";
                break;
            case 4:
                cot += ""d"";
                break;
            case 5:
                cot += ""e"";
                break;
            case 6:
                cot += ""f"";
                break;
            case 7:
                cot += ""g"";
                break;
            case 8:
                cot += ""h"";
                break;
            default:
                break;
        }
        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + cot + endY;
",REPLACE,0.35355338,REPLACE_CODE,,YES,,,,,
81121,Move,(91-122;91-93),"    public String toString() {
        char signal = 'a';
        switch (movedPiece.getCoordinatesX()) {
            case 1:
                signal = 'a';
                break;
            case 2:
                signal = 'b';
                break;
            case 3:
                signal = 'c';
                break;
            case 4:
                signal = 'd';
                break;
            case 5:
                signal = 'e';
                break;
            case 6:
                signal = 'f';
                break;
            case 7:
                signal = 'g';
                break;
            case 8:
                signal = 'h';
                break;
            default:
                break;
        }
        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + signal + movedPiece.getCoordinatesY();
","    public String toString() {
        return movedPiece.getColor() + '-' + movedPiece.getSymbol()
                + (char) (endX - 1 + 'a') + endY;
",REPLACE,0.35355338,REPLACE_CODE,,,,,,,
80825,Board,(20-20;20-25),"
","
    /**
     * Author.
     * Thuan
     * Trinh Van Thuan
     */
",INSERT,0.35355338,,,NO,,,,,
80825,Rook,(15-15;15-20),"
","
    /**
     * Author.
     * Thuan
     * Trinh Van Thuan
     */
",INSERT,null,,,NO,,,,,
80721,Move,(75-75;85-90),"
","
    /**
     * Author.
     * Thuan
     * Trinh Van Thuan
     */
",INSERT,null,,,NO,,,,,
80721,Move,(76-106;91-93),"    public String toString() {
        char signal = 'a';
        switch (movedPiece.getCoordinatesX()) {
            case 1:
                signal = 'a';
                break;
            case 2:
                signal = 'b';
                break;
            case 3:
                signal = 'c';
                break;
            case 4:
                signal = 'd';
                break;
            case 5:
                signal = 'e';
                break;
            case 6:
                signal = 'f';
                break;
            case 7:
                signal = 'g';
                break;
            case 8:
                signal = 'h';
                break;
            default:
                break;
        }
        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol() + signal + movedPiece.getCoordinatesY();
","    public String toString() {
        return movedPiece.getColor() + '-' + movedPiece.getSymbol()
                + (char) (endX - 1 + 'a') + endY;
",REPLACE,0.35355338,REPLACE_CODE,,YES,,,,,
80721,Piece,(30-30;30-35),"
","
    /**
     * Author.
     * Thuan
     * Trinh Van Thuan
     */
",INSERT,null,,,NO,,,,,
80761,Piece,(94-94;94-107),"    }
","    }

    /**
     *  .
     * @param piece .
     * @return .
     */
    public boolean checkPosition(Piece piece) {
        if (piece.getCoordinatesX() >= 1 && piece.getCoordinatesX() <= 8
                && piece.getCoordinatesY() >= 1 && piece.getCoordinatesY() <= 8) {
            return true;
        }
        return false;
    }
",INSERT,0.35355338,,,NO,,,,,
80761,Move,(52-53;52-53),"    public String toString() {
        char character = (char)(movedPiece.getCoordinatesX() + 100);
","    public String toString() {
        char character = (char) (this.getEndX() + 96);
",REPLACE,0.35355338,CHANGE_OPERATOR,,YES,,,,,
80761,Move,(54-55;54-55),"        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + character + movedPiece.getCoordinatesY();
","        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + character + this.getEndY();
",REPLACE,0.35355338,REPLACE_VAR,LINE,YES,,,,,
80742,Move,(52-55;52-55),"    public String toString() {
        String character = Integer.toString(movedPiece.getCoordinatesX() + 96);
        return ""`"" + movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + character + movedPiece.getCoordinatesY() + ""`"";
","    public String toString() {
        char character = (char) (this.getEndX() + 96);
        return movedPiece.getColor() + ""-"" + movedPiece.getSymbol()
                + character + this.getEndY();
",REPLACE,0.35355338,REPLACE_VAR,,YES,CLASS,,,,
81415,Board,(49-49;49-50),"                pieces.remove(piece);
","                pieces.remove(piece);
                return;
",INSERT,0.35355338,INSERT_KEY,,YES,,,,,
81412,Move,(53-54;53-54),"        s.append(movedPiece.getSymbol());
        s.append((char) (movedPiece.getCoordinatesX() - 1 + 'a'));
","        s.append(movedPiece.getSymbol());
        s.append((char) (getEndX() - 1 + 'a'));
",REPLACE,0.35355338,REPLACE_VAR,,YES,CLASS,,,,
81479,Board,(10-10;10-15),"    }
","    }

    /**
     * gdfgdf.
     * @return
     */
",INSERT,null,,,NO,,,,,
81479,Board,(15-15;20-23),"
","
    /**
     * fasfa.
     */
",INSERT,null,,,NO,,,,,
81479,Board,(31-31;39-43),"
","
    /**
     * gfd.
     * @return
     */
",INSERT,null,,,NO,,,,,
81479,Board,(40-40;52-55),"
","
    /**
     * gdfgdf.
     */
",INSERT,null,,,NO,,,,,
81479,Board,(56-56;71-73),"    }
","    }


",INSERT,null,,,NO,,,,,
81479,Move,(8-8;8-11),"
","
    /**
     * fsdfsd.
     */
",INSERT,null,,,NO,,,,,
81479,Move,(16-16;19-22),"
","
    /**
     * fsdfsd.
     */
",INSERT,null,,,NO,,,,,
81479,Move,(25-25;31-35),"
","
    /**
     * fsdfsd.
     * @return
     */
",INSERT,null,,,NO,,,,,
81479,Move,(26-27;36-40),"    public String toString() {
        return null;
","    public String toString() {
        char codinateX = (char) (this.endX - 1 + 'a');
        char codinateY = (char) (this.endY + '0');
        String origin = movedPiece.getColor() + ""-"" + movedPiece.getSymbol();
        return origin + codinateX + codinateY;
",REPLACE,0.35355338,GEN_STRING,,YES,,,,,
82190,Move,(37-39;37-39),"        String res = movedPiece.getColor() + ""-"" + movedPiece.getSymbol();
        res += (char) (endY + 96);
        res += endX;
","        String res = movedPiece.getColor() + ""-"" + movedPiece.getSymbol();
        res += (char) (endX + 96);
        res += endY;
",REPLACE,0.35355338,REPLACE_VAR,,YES,CLASS,,,,
82131,Board,(13-13;13-16),"
","
    /**
     * add.
     */
",INSERT,null,,,NO,,,,,
82131,Board,(26-26;29-32),"
","
    /**
     * valid.
     */
",INSERT,null,,,NO,,,,,
82131,Board,(33-33;39-42),"
","
    /**
     * remove.
     */
",INSERT,0.35355338,,,NO,,,,,
82131,Board,(42-42;51-54),"
","
    /**
     * get.
     */
",INSERT,null,,,NO,,,,,
82131,Piece,(5-5;5-8),"
","
    /**
     * init.
     */
",INSERT,null,,,NO,,,,,
82131,Piece,(11-11;14-17),"
","
    /**
     * init2.
     */
",INSERT,null,,,NO,,,,,
82131,Piece,(18-18;24-28),"    public abstract String getSymbol();
","    public abstract String getSymbol();

    /**
     * canMove.
     */
",INSERT,null,,,NO,,,,,
82131,Piece,(44-44;54-57),"
","
    /**
     * check.
     */
",INSERT,null,,,NO,,,,,
82131,Move,(9-9;9-12),"
","
    /**
     * init.
     */
",INSERT,null,,,NO,,,,,
82131,Move,(17-17;20-23),"
","
    /**
     * move.
     */
",INSERT,null,,,NO,,,,,
82131,Move,(26-26;32-35),"
","
    /**
     * toString.
     */
",INSERT,null,,,NO,,,,,
82131,Move,(28-30;37-39),"        String res = movedPiece.getColor() + ""-"" + movedPiece.getSymbol();
        res += (char) movedPiece.getCoordinatesY() + 96;
        res += movedPiece.getCoordinatesX();
","        String res = movedPiece.getColor() + ""-"" + movedPiece.getSymbol();
        res += (char) (endX + 96);
        res += endY;
",REPLACE,0.35355338,REPLACE_VAR,,YES,CLASS,,,,
81245,Board,(13-13;10-14),"
","
    /**
     * add piece to board.
     * @param piece piece.
     */
",INSERT,null,,,NO,,,,,
81245,Board,(36-36;32-38),"
","
    /**
     * get piece at x,y.
     * @param x coordinates x.
     * @param y coordinates y.
     * @return piece at coordinates x,y.
     */
",INSERT,null,,,NO,,,,,
